,netspend,volume,packs,brand,market,region,store,gweight,date
36,14.51,8.372,5,brand_2,market_2,region_7,store_4,5573,2021-01-23
37,6.21,19.666,3,brand_5,market_2,region_4,store_3,39481,2024-06-21
38,7.62,15.121,4,brand_30,market_5,region_2,store_2,17078,2021-06-15
39,16.36,11.103,3,brand_28,market_1,region_2,store_2,4988,2022-10-01
40,3.35,3.008,5,brand_16,market_4,region_2,store_4,7533,2020-04-29
41,15.21,17.802,5,brand_2,market_4,region_5,store_2,3094,2024-03-13
42,12.99,10.718,1,brand_15,market_5,region_3,store_4,23254,2024-11-07
43,19.83,12.981,2,brand_19,market_5,region_3,store_1,17282,2024-05-06
44,5.83,16.332,2,brand_2,market_1,region_5,store_1,4062,2023-10-21
45,8.7,12.164,2,brand_19,market_4,region_6,store_3,2250,2020-06-14
46,4.26,11.347,3,brand_17,market_3,region_5,store_1,18055,2024-01-17
47,2.26,6.455,3,brand_29,market_3,region_2,store_3,45609,2022-07-27
48,4.54,4.313,4,brand_30,market_5,region_6,store_2,19435,2022-08-22
49,11.1,12.689,3,brand_12,market_5,region_1,store_1,4889,2021-04-06
50,4.87,19.819,5,brand_21,market_4,region_3,store_3,21157,2023-08-14
51,13.94,9.494,1,brand_27,market_4,region_1,store_1,23950,2020-07-19
52,1.51,6.657,5,brand_19,market_5,region_6,store_2,11047,2024-03-19
53,14.32,7.177,1,brand_11,market_1,region_2,store_1,17757,2024-11-25
54,18.44,18.476,1,brand_13,market_3,region_5,store_3,20960,2021-01-20
55,5.59,19.622,4,brand_3,market_1,region_6,store_1,35152,2021-03-27
56,7.02,7.907,5,brand_2,market_1,region_2,store_2,25997,2024-11-02
57,11.66,11.638,3,brand_30,market_2,region_1,store_1,8037,2020-10-06
58,4.43,18.853,2,brand_24,market_1,region_1,store_4,13424,2023-12-23
59,19.72,10.451,3,brand_20,market_2,region_7,store_4,30594,2021-06-12
60,6.09,13.289,2,brand_3,market_2,region_4,store_4,39754,2022-07-27
61,13.94,14.277,4,brand_9,market_2,region_4,store_2,44444,2023-08-08
62,16.76,13.06,3,brand_6,market_3,region_3,store_1,11064,2020-07-11
63,6.1,3.007,2,brand_9,market_1,region_6,store_1,2598,2024-08-12
64,19.8,4.569,1,brand_17,market_4,region_6,store_1,34994,2022-04-17
65,19.91,3.124,1,brand_11,market_3,region_7,store_4,18833,2020-09-26
66,18.41,18.608,3,brand_13,market_2,region_5,store_4,41683,2024-09-23
67,9.07,2.417,3,brand_13,market_1,region_4,store_1,36018,2021-12-26
68,14.87,17.665,3,brand_11,market_2,region_6,store_3,31567,2022-05-03
69,17.22,12.433,4,brand_16,market_2,region_5,store_4,43185,2023-11-07
70,17.99,8.239,2,brand_30,market_3,region_7,store_4,24897,2023-01-14
71,4.14,7.956,1,brand_30,market_5,region_2,store_4,42063,2024-05-10
72,1.91,17.164,2,brand_21,market_4,region_4,store_2,3069,2023-05-15
73,14.27,1.03,1,brand_6,market_2,region_1,store_2,20647,2024-06-27
74,15.2,18.657,1,brand_2,market_1,region_5,store_3,14571,2022-02-07
75,1.58,13.502,4,brand_23,market_3,region_1,store_1,5816,2022-01-01
76,4.91,5.929,5,brand_10,market_1,region_3,store_3,1364,2024-10-05
77,13.2,6.129,2,brand_16,market_4,region_7,store_2,11375,2024-12-15
78,4.87,2.085,2,brand_6,market_2,region_2,store_3,45382,2022-05-14
79,12.46,12.377,1,brand_20,market_3,region_5,store_3,38799,2021-08-04
80,17.02,11.211,3,brand_19,market_1,region_5,store_4,39972,2021-12-02
81,8.67,4.098,1,brand_8,market_3,region_2,store_3,22845,2020-08-20
82,5.44,14.495,3,brand_4,market_1,region_7,store_3,2991,2024-06-11
83,10.97,12.814,5,brand_7,market_4,region_5,store_3,34158,2024-04-04
84,1.26,6.792,1,brand_22,market_2,region_1,store_4,18373,2022-03-26
85,19.43,12.613,4,brand_9,market_1,region_2,store_3,45453,2024-05-04
86,8.34,10.426,3,brand_7,market_2,region_6,store_3,17527,2021-04-02
87,5.36,2.396,2,brand_6,market_5,region_2,store_4,13621,2021-07-04
88,18.26,8.458,4,brand_5,market_3,region_7,store_4,13151,2022-02-10
89,14.08,14.387,2,brand_13,market_3,region_4,store_4,5248,2023-05-14
90,4.69,13.728,2,brand_19,market_4,region_3,store_4,32886,2022-05-21
91,11.34,8.751,2,brand_7,market_3,region_5,store_1,40775,2020-05-17
92,8.33,4.394,1,brand_3,market_3,region_7,store_1,19381,2020-06-29
93,3.32,9.229,5,brand_4,market_1,region_5,store_3,46281,2023-07-22
94,6.35,6.07,5,brand_8,market_4,region_4,store_4,22441,2024-01-24
95,8.43,19.985,4,brand_16,market_5,region_5,store_2,15189,2022-08-17
96,19.43,1.927,5,brand_14,market_1,region_2,store_3,27742,2020-01-02
97,14.45,10.679,4,brand_10,market_3,region_3,store_3,38873,2022-04-06
98,13.68,15.093,3,brand_13,market_5,region_5,store_2,4464,2022-05-14
99,15.29,9.636,2,brand_1,market_1,region_6,store_2,22141,2020-05-16
100,16.58,9.949,4,brand_23,market_1,region_3,store_3,46717,2020-05-06
101,19.91,18.461,1,brand_21,market_4,region_1,store_1,3586,2022-07-23
102,11.09,18.531,3,brand_23,market_2,region_7,store_2,38724,2022-08-25
103,16.41,10.74,5,brand_4,market_3,region_6,store_3,5912,2021-01-13
104,7.46,17.633,5,brand_21,market_4,region_4,store_4,4493,2022-08-03
105,11.34,18.547,2,brand_26,market_5,region_6,store_4,13611,2022-03-06
106,3.8,2.277,4,brand_9,market_4,region_6,store_4,9273,2023-04-04
107,9.64,18.441,3,brand_27,market_2,region_2,store_4,34810,2021-05-22
108,3.49,8.464,5,brand_27,market_1,region_1,store_3,49683,2023-03-01
109,2.01,16.194,4,brand_15,market_1,region_6,store_2,33029,2023-05-12
110,4.32,16.72,4,brand_30,market_5,region_3,store_3,2542,2021-01-24
111,4.77,15.072,2,brand_12,market_5,region_2,store_3,21340,2021-09-27
112,8.4,15.688,5,brand_11,market_1,region_4,store_4,29568,2021-11-28
113,16.87,2.077,4,brand_5,market_2,region_4,store_4,28234,2022-10-27
114,14.64,3.779,1,brand_7,market_1,region_4,store_3,22998,2022-04-23
115,19.86,6.684,3,brand_6,market_3,region_7,store_4,10642,2022-02-15
116,4.56,14.684,3,brand_9,market_2,region_5,store_3,22890,2021-04-18
117,12.1,8.229,5,brand_3,market_3,region_6,store_1,46742,2023-09-26
118,1.85,11.131,5,brand_5,market_3,region_3,store_2,19420,2022-01-03
119,9.58,5.916,3,brand_29,market_5,region_1,store_1,43810,2021-06-26
120,3.42,6.776,3,brand_26,market_3,region_2,store_1,26219,2020-03-14
121,11.69,5.979,3,brand_27,market_2,region_1,store_3,37868,2020-09-09
122,7.6,10.267,2,brand_24,market_1,region_7,store_2,1892,2021-06-15
123,2.51,19.667,1,brand_12,market_2,region_2,store_4,48772,2023-12-12
124,4.85,1.917,4,brand_28,market_5,region_2,store_3,30052,2020-08-10
125,6.36,15.754,2,brand_5,market_3,region_5,store_2,38029,2024-09-25
126,16.28,9.488,1,brand_14,market_3,region_5,store_2,27230,2024-06-02
127,12.6,8.961,4,brand_13,market_4,region_7,store_4,19860,2023-08-09
128,17.6,7.605,4,brand_1,market_5,region_2,store_4,46973,2020-01-08
129,8.12,15.287,2,brand_30,market_2,region_6,store_4,13360,2021-05-12
130,4.57,10.149,4,brand_18,market_5,region_1,store_1,47598,2024-01-13
131,7.34,5.897,5,brand_9,market_4,region_1,store_2,34929,2021-08-08
132,16.88,15.273,5,brand_14,market_2,region_3,store_1,34888,2020-02-02
133,12.08,11.204,4,brand_2,market_1,region_6,store_4,9952,2024-07-31
134,2.15,16.763,4,brand_14,market_1,region_7,store_1,23767,2022-11-19
135,3.4,12.224,2,brand_5,market_5,region_3,store_3,45469,2020-07-19
136,2.17,4.468,1,brand_8,market_1,region_6,store_1,20892,2023-01-28
137,11.36,2.599,5,brand_3,market_2,region_5,store_4,31791,2022-11-16
138,16.08,1.325,5,brand_28,market_2,region_4,store_1,48440,2024-06-19
139,10.66,7.621,5,brand_18,market_5,region_4,store_1,5966,2021-04-02
140,19.73,2.438,3,brand_18,market_2,region_1,store_4,30873,2020-02-03
141,5.22,6.413,4,brand_28,market_1,region_4,store_4,26536,2021-11-17
142,13.15,18.674,2,brand_30,market_1,region_6,store_4,12238,2022-03-26
143,12.36,4.027,3,brand_21,market_2,region_1,store_3,33893,2022-04-16
144,4.16,4.934,3,brand_16,market_1,region_3,store_3,44377,2020-05-21
145,17.93,12.602,1,brand_28,market_3,region_2,store_2,14691,2020-04-21
146,3.01,14.384,1,brand_13,market_5,region_5,store_3,12713,2020-02-06
147,8.1,15.998,5,brand_28,market_1,region_2,store_2,38711,2021-12-04
148,2.75,10.077,5,brand_25,market_1,region_6,store_2,26696,2020-05-11
149,18.62,19.035,4,brand_26,market_2,region_6,store_1,5035,2020-12-24
150,11.15,16.523,1,brand_3,market_4,region_2,store_3,3559,2022-11-27
151,15.51,15.294,2,brand_3,market_4,region_4,store_3,15803,2021-01-27
152,13.12,5.595,1,brand_18,market_1,region_7,store_2,25455,2021-08-22
153,7.29,5.269,1,brand_10,market_3,region_2,store_1,31770,2024-12-13
154,14.55,2.913,5,brand_5,market_2,region_4,store_3,36302,2020-11-11
155,13.56,10.09,2,brand_27,market_2,region_4,store_4,46787,2024-06-16
156,19.21,18.789,5,brand_16,market_5,region_2,store_1,6544,2022-02-22
157,8.24,10.544,5,brand_24,market_5,region_6,store_1,12829,2024-09-04
158,5.01,10.997,1,brand_23,market_2,region_6,store_3,37410,2024-10-19
159,18.74,17.855,4,brand_2,market_3,region_2,store_1,21801,2021-12-09
160,4.59,10.552,1,brand_13,market_2,region_5,store_1,32996,2024-05-02
161,10.78,1.679,3,brand_16,market_3,region_1,store_2,40840,2024-09-12
162,14.22,12.216,2,brand_1,market_4,region_6,store_1,22404,2022-02-22
163,17.95,11.862,4,brand_12,market_2,region_7,store_2,41025,2021-08-11
164,14.93,15.132,3,brand_2,market_3,region_4,store_3,12139,2022-03-21
165,2.48,6.222,1,brand_9,market_5,region_3,store_1,20592,2023-04-02
166,11.69,7.608,4,brand_9,market_3,region_5,store_1,47832,2020-06-15
167,13.23,13.918,2,brand_2,market_5,region_2,store_3,47134,2024-01-13
168,1.81,18.518,2,brand_11,market_5,region_2,store_3,43947,2023-09-28
169,13.32,2.718,3,brand_20,market_1,region_2,store_1,15186,2023-01-28
170,5.15,4.179,3,brand_18,market_1,region_7,store_3,32109,2020-10-18
171,9.31,16.252,2,brand_8,market_5,region_2,store_4,12978,2024-05-19
172,5.48,13.295,4,brand_10,market_3,region_7,store_3,47166,2020-12-17
173,11.43,15.376,1,brand_17,market_1,region_1,store_2,6786,2023-06-12
174,8.88,19.303,5,brand_20,market_2,region_4,store_3,49023,2020-06-07
175,1.2,11.042,4,brand_23,market_3,region_5,store_1,29235,2024-11-10
176,15.99,2.645,2,brand_8,market_5,region_3,store_4,29684,2020-12-08
177,17.46,9.321,2,brand_11,market_2,region_6,store_3,16685,2021-11-09
178,1.25,4.825,5,brand_8,market_2,region_7,store_4,37156,2024-01-10
179,15.87,15.988,2,brand_11,market_2,region_1,store_4,41171,2024-04-18
180,4.77,16.687,2,brand_2,market_2,region_4,store_4,29685,2022-07-30
181,17.97,1.186,4,brand_20,market_5,region_7,store_3,10522,2020-02-29
182,13.62,10.668,5,brand_6,market_1,region_4,store_2,22138,2023-02-25
183,12.3,16.357,1,brand_13,market_1,region_3,store_4,33581,2023-07-05
184,3.78,19.153,4,brand_13,market_1,region_7,store_1,36127,2020-03-19
185,4.08,15.72,1,brand_22,market_4,region_5,store_4,7518,2020-12-30
186,4.36,17.611,5,brand_19,market_1,region_5,store_2,27558,2021-09-11
187,12.49,4.556,3,brand_9,market_1,region_1,store_1,9404,2023-09-02
188,2.0,11.613,3,brand_4,market_1,region_4,store_2,5669,2023-12-06
189,16.69,7.939,4,brand_9,market_3,region_6,store_2,46804,2020-06-28
190,8.6,1.911,3,brand_12,market_4,region_3,store_3,25417,2024-03-18
191,10.74,18.698,1,brand_12,market_2,region_6,store_1,15343,2021-12-21
192,1.98,9.68,3,brand_3,market_3,region_5,store_2,21688,2020-04-14
193,14.17,5.208,5,brand_13,market_2,region_6,store_1,41999,2020-09-21
194,4.98,8.428,5,brand_21,market_1,region_5,store_2,25377,2024-02-07
195,18.61,4.265,2,brand_24,market_5,region_2,store_2,22267,2024-12-16
196,16.42,12.288,2,brand_4,market_5,region_6,store_4,44676,2022-03-30
197,17.08,16.936,4,brand_13,market_3,region_7,store_3,36774,2024-11-18
198,4.04,11.13,3,brand_29,market_3,region_6,store_1,20344,2021-05-16
199,4.63,9.882,2,brand_8,market_3,region_2,store_4,1069,2021-03-10
200,10.42,4.341,4,brand_9,market_4,region_4,store_4,43980,2023-09-30
201,13.3,11.41,5,brand_4,market_3,region_2,store_3,11898,2023-05-26
202,8.33,8.042,3,brand_2,market_4,region_1,store_1,29236,2022-04-25
203,7.87,8.204,2,brand_25,market_3,region_5,store_4,47653,2024-10-13
204,6.2,13.972,3,brand_28,market_2,region_3,store_4,3970,2023-10-17
205,4.42,10.285,1,brand_2,market_2,region_6,store_2,16549,2023-09-14
206,13.7,9.183,5,brand_17,market_1,region_7,store_4,9479,2020-06-08
207,4.46,18.391,3,brand_30,market_1,region_1,store_2,46493,2022-04-10
208,17.43,2.166,1,brand_3,market_3,region_3,store_3,10500,2022-04-04
209,10.8,18.734,1,brand_15,market_2,region_6,store_3,18513,2023-01-24
210,7.62,14.907,4,brand_11,market_3,region_4,store_3,34890,2022-10-21
211,14.91,7.792,5,brand_27,market_3,region_6,store_1,13835,2023-02-04
212,3.22,15.484,2,brand_23,market_3,region_7,store_3,45888,2020-07-16
213,11.51,5.393,3,brand_18,market_3,region_1,store_1,32054,2022-07-09
214,7.33,3.757,1,brand_29,market_4,region_1,store_1,47959,2023-08-11
215,2.66,8.74,3,brand_7,market_3,region_2,store_2,23234,2022-12-31
216,12.17,17.884,3,brand_7,market_1,region_7,store_1,31928,2024-06-20
217,2.19,5.745,4,brand_29,market_2,region_7,store_4,21371,2024-12-14
218,4.09,14.353,4,brand_29,market_2,region_6,store_4,31338,2021-11-11
219,1.19,11.994,2,brand_19,market_5,region_1,store_2,21073,2020-03-14
220,12.16,18.556,2,brand_18,market_5,region_5,store_4,28625,2020-06-24
221,4.72,12.977,4,brand_28,market_1,region_2,store_2,47783,2021-10-05
222,1.46,13.793,2,brand_13,market_2,region_4,store_1,34049,2021-12-01
223,19.1,10.842,2,brand_2,market_1,region_6,store_1,39753,2023-01-24
224,15.27,10.449,1,brand_18,market_1,region_1,store_1,20008,2022-05-30
225,15.41,16.418,4,brand_21,market_1,region_6,store_4,46376,2020-06-02
226,9.46,17.61,3,brand_14,market_5,region_1,store_4,17536,2021-03-11
227,15.24,9.248,3,brand_29,market_4,region_6,store_4,14125,2020-08-29
228,16.47,2.572,2,brand_1,market_3,region_5,store_4,37474,2020-10-17
229,15.73,19.261,1,brand_8,market_2,region_5,store_2,48027,2021-12-30
230,17.63,4.78,2,brand_10,market_3,region_3,store_4,47100,2022-05-14
231,10.13,13.328,3,brand_18,market_1,region_6,store_3,18087,2022-09-20
232,16.6,10.807,5,brand_21,market_1,region_4,store_3,26809,2022-05-06
233,15.45,18.098,2,brand_28,market_3,region_2,store_1,7292,2021-11-29
234,18.57,7.282,3,brand_7,market_2,region_5,store_4,42783,2020-05-07
235,18.57,4.304,1,brand_11,market_3,region_3,store_1,13327,2022-11-29
236,16.12,11.822,5,brand_30,market_3,region_2,store_1,21258,2021-11-29
237,10.63,9.147,4,brand_14,market_3,region_2,store_1,39156,2020-03-03
238,1.58,5.297,2,brand_17,market_2,region_2,store_4,34198,2023-06-08
239,14.19,17.96,1,brand_30,market_5,region_7,store_2,25501,2022-12-12
240,4.33,3.533,1,brand_2,market_1,region_4,store_1,45403,2020-04-07
241,14.27,4.217,1,brand_6,market_3,region_4,store_2,3961,2024-10-12
242,5.99,5.527,3,brand_23,market_5,region_7,store_1,44385,2024-12-03
243,10.59,16.807,1,brand_7,market_3,region_6,store_3,35033,2022-02-16
244,3.61,9.233,5,brand_9,market_1,region_3,store_3,27735,2022-08-01
245,15.4,6.346,5,brand_19,market_2,region_7,store_2,22050,2024-10-15
246,18.4,3.072,1,brand_27,market_3,region_2,store_2,30130,2024-01-25
247,6.14,3.032,4,brand_1,market_4,region_2,store_1,38665,2023-07-24
248,9.72,18.763,2,brand_25,market_1,region_6,store_2,33962,2020-08-17
249,2.83,4.103,5,brand_19,market_5,region_1,store_3,43379,2024-12-20
250,17.17,14.165,5,brand_30,market_1,region_6,store_1,9198,2023-08-06
251,7.81,5.993,3,brand_22,market_2,region_3,store_3,37253,2023-02-24
252,1.32,15.303,3,brand_25,market_1,region_7,store_2,7713,2021-12-28
253,13.87,18.589,5,brand_3,market_5,region_7,store_3,44826,2022-07-26
254,14.14,17.29,4,brand_12,market_2,region_7,store_1,44552,2022-05-25
255,17.29,8.515,4,brand_16,market_4,region_2,store_4,13713,2020-12-05
256,6.61,5.937,5,brand_19,market_2,region_6,store_4,42352,2022-09-10
257,15.1,1.425,4,brand_18,market_5,region_5,store_3,49429,2023-06-09
258,6.77,10.263,4,brand_1,market_3,region_3,store_1,2302,2022-08-22
259,5.32,8.76,5,brand_17,market_1,region_4,store_3,49031,2023-10-03
260,1.27,5.355,2,brand_19,market_3,region_5,store_1,3955,2021-06-30
261,17.33,4.607,4,brand_27,market_5,region_6,store_3,13657,2022-10-28
262,14.19,3.371,2,brand_11,market_2,region_7,store_2,10817,2021-04-19
263,4.29,14.142,4,brand_6,market_5,region_5,store_2,10482,2021-11-15
264,6.58,7.48,2,brand_30,market_1,region_1,store_1,3843,2024-06-20
265,9.94,3.486,4,brand_24,market_2,region_2,store_3,23684,2023-06-18
266,1.11,4.344,3,brand_26,market_1,region_4,store_1,6972,2020-10-13
267,7.76,3.906,1,brand_10,market_2,region_4,store_2,28826,2024-10-27
268,18.93,11.27,4,brand_29,market_5,region_5,store_1,36047,2024-11-06
269,2.06,3.439,5,brand_4,market_2,region_1,store_4,49756,2023-02-20
270,11.15,19.763,2,brand_24,market_5,region_6,store_1,13998,2020-04-03
271,17.88,15.893,2,brand_18,market_3,region_1,store_1,43819,2021-08-05
272,6.25,12.886,5,brand_30,market_2,region_2,store_2,19082,2022-01-13
273,5.17,14.674,1,brand_28,market_2,region_3,store_3,44842,2022-10-18
274,11.54,2.342,3,brand_12,market_4,region_1,store_4,2336,2022-12-01
275,3.9,3.196,5,brand_23,market_3,region_2,store_2,4143,2021-11-18
276,11.52,2.28,4,brand_29,market_3,region_4,store_2,46201,2021-10-11
277,8.13,4.242,3,brand_26,market_5,region_6,store_1,4062,2020-07-19
278,18.32,15.084,2,brand_10,market_1,region_2,store_4,11708,2020-04-21
279,19.73,5.303,4,brand_24,market_1,region_1,store_2,45433,2021-10-29
280,2.04,10.712,1,brand_30,market_4,region_4,store_2,14941,2023-02-25
281,8.65,7.153,4,brand_4,market_4,region_2,store_1,32551,2023-05-08
282,12.19,13.999,2,brand_3,market_5,region_3,store_4,35149,2024-08-16
283,5.49,8.966,1,brand_2,market_3,region_4,store_1,35095,2024-02-07
284,6.12,5.965,4,brand_26,market_2,region_7,store_4,49598,2024-11-16
285,12.91,9.194,2,brand_21,market_3,region_7,store_2,48104,2021-12-15
286,5.91,9.493,5,brand_25,market_1,region_7,store_3,47022,2023-03-06
287,12.44,17.254,2,brand_18,market_2,region_4,store_3,9671,2024-09-25
288,2.11,2.548,2,brand_7,market_1,region_2,store_1,26639,2020-07-07
289,8.29,3.761,2,brand_18,market_1,region_7,store_3,8368,2022-03-23
290,2.84,7.476,1,brand_10,market_5,region_5,store_1,27084,2023-07-12
291,12.73,5.716,1,brand_21,market_5,region_1,store_2,28839,2024-09-30
292,14.7,18.269,3,brand_9,market_5,region_3,store_4,39067,2020-04-12
293,4.44,15.408,3,brand_26,market_1,region_7,store_2,27024,2021-07-01
294,2.9,9.885,3,brand_28,market_5,region_4,store_1,47885,2023-08-08
295,17.79,1.781,3,brand_14,market_4,region_3,store_4,36765,2021-10-10
296,10.78,10.713,5,brand_13,market_4,region_5,store_4,3105,2022-10-04
297,12.42,13.551,3,brand_12,market_4,region_6,store_1,17661,2023-08-17
298,17.86,18.301,4,brand_3,market_2,region_5,store_2,21236,2020-04-11
299,15.48,1.643,5,brand_8,market_5,region_2,store_1,32601,2021-07-10
300,13.28,17.044,3,brand_24,market_2,region_2,store_1,13057,2023-04-27
301,7.34,9.618,2,brand_20,market_4,region_4,store_4,14927,2022-10-16
302,7.19,17.028,4,brand_27,market_5,region_6,store_2,29698,2020-12-18
303,7.91,11.263,2,brand_30,market_3,region_5,store_1,19563,2020-08-17
304,15.56,9.524,3,brand_5,market_5,region_5,store_2,9456,2023-04-18
305,12.22,1.484,1,brand_13,market_2,region_4,store_2,28757,2024-11-20
306,14.47,7.098,5,brand_3,market_1,region_4,store_3,29856,2022-11-16
307,19.5,13.733,4,brand_7,market_3,region_1,store_4,15598,2024-07-08
308,8.44,14.869,5,brand_10,market_1,region_2,store_1,4761,2023-05-29
309,12.59,19.434,5,brand_11,market_1,region_7,store_3,33440,2022-01-12
310,9.88,11.865,5,brand_17,market_4,region_3,store_1,30193,2024-04-21
311,4.58,19.266,1,brand_1,market_2,region_3,store_3,17104,2020-03-16
312,1.26,10.447,1,brand_20,market_1,region_1,store_3,11918,2020-05-06
313,9.61,8.243,3,brand_26,market_3,region_1,store_4,41565,2024-05-25
314,2.78,8.851,5,brand_2,market_2,region_1,store_2,29500,2020-07-03
315,10.16,10.226,3,brand_21,market_2,region_6,store_3,43005,2021-01-19
316,2.14,18.464,4,brand_24,market_5,region_2,store_4,49620,2022-01-10
317,14.28,16.308,5,brand_22,market_3,region_3,store_1,46106,2021-02-17
318,8.24,15.219,5,brand_6,market_1,region_5,store_1,11684,2024-12-20
319,8.88,1.97,2,brand_20,market_3,region_7,store_4,28361,2024-08-18
320,16.49,8.908,1,brand_24,market_3,region_7,store_4,15832,2021-08-28
321,11.3,17.527,4,brand_24,market_3,region_1,store_3,2456,2021-09-11
322,16.03,13.887,5,brand_22,market_4,region_6,store_3,38819,2022-10-06
323,4.6,18.933,1,brand_14,market_2,region_1,store_1,49127,2022-12-04
324,17.47,17.353,1,brand_22,market_3,region_4,store_3,44620,2020-04-18
325,6.62,18.077,2,brand_20,market_5,region_4,store_1,12867,2023-02-04
326,17.21,4.505,5,brand_4,market_2,region_3,store_2,29700,2022-10-12
327,1.64,1.175,4,brand_11,market_1,region_6,store_4,17452,2021-04-26
328,19.46,9.386,3,brand_5,market_1,region_3,store_4,10386,2024-10-21
329,1.33,2.547,2,brand_23,market_2,region_7,store_1,46704,2021-07-21
330,5.63,2.139,4,brand_15,market_5,region_3,store_1,45269,2024-02-28
331,4.98,13.423,4,brand_12,market_5,region_7,store_4,45136,2021-12-23
332,3.8,12.251,5,brand_14,market_5,region_2,store_3,4497,2024-11-03
333,7.13,2.856,2,brand_12,market_5,region_3,store_1,33865,2020-10-30
334,15.6,4.555,2,brand_10,market_1,region_4,store_2,43918,2023-03-08
335,12.68,9.323,2,brand_21,market_2,region_1,store_2,38274,2022-11-25
336,12.05,4.528,2,brand_30,market_2,region_3,store_3,31025,2020-09-14
337,3.94,8.044,2,brand_5,market_1,region_2,store_4,41850,2022-11-04
338,18.24,14.603,4,brand_23,market_5,region_5,store_2,39526,2021-04-01
339,19.07,19.036,2,brand_30,market_2,region_4,store_1,16583,2024-05-17
340,2.97,13.983,3,brand_14,market_2,region_6,store_2,22252,2023-11-15
341,17.04,2.585,4,brand_15,market_1,region_5,store_1,35375,2023-01-23
342,15.18,12.134,4,brand_16,market_3,region_4,store_3,38001,2022-02-01
343,16.36,7.619,2,brand_27,market_3,region_1,store_2,8544,2023-03-02
344,13.98,15.897,3,brand_8,market_1,region_1,store_3,34035,2022-12-27
345,9.99,11.454,2,brand_10,market_2,region_1,store_2,22366,2023-08-03
346,18.73,13.85,2,brand_12,market_4,region_6,store_3,48262,2023-08-23
347,15.04,4.609,4,brand_11,market_3,region_6,store_3,34882,2020-12-13
348,12.17,3.505,4,brand_24,market_2,region_2,store_3,36724,2024-06-25
349,17.44,16.841,4,brand_22,market_5,region_1,store_3,28065,2022-07-23
350,4.43,15.13,2,brand_28,market_4,region_5,store_2,23170,2021-12-18
351,12.43,8.121,5,brand_18,market_4,region_4,store_4,47824,2024-05-22
352,1.98,16.902,1,brand_28,market_5,region_4,store_2,17374,2023-04-07
353,12.2,11.133,4,brand_24,market_1,region_5,store_1,20180,2020-08-26
354,12.52,19.905,5,brand_18,market_2,region_2,store_1,30373,2021-03-28
355,18.85,13.465,5,brand_26,market_3,region_1,store_2,6979,2020-02-01
356,13.8,7.157,1,brand_9,market_3,region_5,store_4,33057,2021-07-31
